event_name,calendar_title,catalog_name,start_date,end_date,url,results_year,results_month,edition_ym_candidates,date_precision,date_source,flags,source_fingerprint
Norwegian Open WCS,Norwegian Open WCS,Norwegian Open WCS,2026-10-01,2026-10-04,https://norwegianopen.no/,2026,10,2026-10,day,wsdc_calendar,,cfb58853d68c552a8f01e344
RiverSwingNights,RiverSwingNights,RiverSwingNights,2026-10-01,2026-10-05,http://www.riverswingnights.com,2026,10,2026-10,day,wsdc_calendar,,da88db1ce065fee87033e912
Westie Harbor,Westie Harbor,Westie Harbor,2026-10-01,2026-10-05,http://www.westieharbor.com,2026,10,2026-10,day,wsdc_calendar,,8d1dae25426572b4b2669238
Autumn Beat,Autumn Beat,Autumn Beat,2026-10-02,2026-10-05,https://autumnbeat.lv/,2026,10,2026-10,day,wsdc_calendar,,732cfbaf65ca9c78c71e796b
Boogie By The Bay,Boogie By The Bay,Boogie By The Bay,2026-10-08,2026-10-12,https://boogiebythebay.com,2026,10,2026-10,day,wsdc_calendar,,fba93e3875ae13599366b4aa
Montreal Westie Fest,Montreal Westie Fest,Montreal Westie Fest,2026-10-09,2026-10-11,http://montrealwestiefest.com,2026,10,2026-10,day,wsdc_calendar,,f50a6312b7f4823c07af0617
Milan Modern Swing,Milan Modern Swing,Milan Modern Swing,2026-10-15,2026-10-18,https://www.westcoastswingmilan.com/,2026,10,2026-10,day,wsdc_calendar,,c14fabb534dd47417aa878eb
Paradise dance Festival,Paradise dance Festival,Paradise Dance Festival,2026-10-15,2026-10-18,https://paradisecountrydancefestival.com/,2026,10,2026-10,day,wsdc_calendar,,109862c6a04aadfe8cebcdba
The New Zealand West Coast Swing Open,The New Zealand West Coast Swing Open,New Zealand Open Swing Dance Championships,2026-10-15,2026-10-18,https://www.streetswing.co.nz/the-new-zealand-open,2026,10,2026-10,day,wsdc_calendar,,115e48131a7d9cc962d95d0d
WCS Festival,WCS Festival,WCS Festival,2026-10-15,2026-10-17,http://www.wcsfestival.com,2026,10,2026-10,day,wsdc_calendar,,3cc38a85b16b4016c389a952
Swustlicious,Swustlicious,Swustlicious,2026-10-16,2026-10-18,http://www.swustlicious.com,2026,10,2026-10,day,wsdc_calendar,,5fd0811df39b6befac05a033
WCS Festival,WCS Festival,WCS Festival,2026-10-16,2026-10-18,http://www.wcsfestival.com,2026,10,2026-10,day,wsdc_calendar,,1b6e9eab386ddd5f245628a4
