year,start_date,original_date,event_name,status_event,event_location,country,confirmed,canceled,link,continent,Latitude,Longitude
2024,2024-11-14,"Nov 14 - 18, 2024",London SWINGvitational,Registry Event,"Bracknell, Berkshire, United Kingdom",United Kingdom,False,False,http://www.londonswingvitational.co.uk,EU,51.416,-0.749
2024,2024-11-21,"Nov 21 - 24, 2024",C.A.S.H. Bash,Registry Event,"Twinsburg, OH",United States,False,False,http://Cashdanceclub.org,NA,41.3125552,-81.4401129
2024,2024-11-27,"Nov 27 - Dec 1, 2024",The US Open Swing Dance Championships,Registry Event,"Burbank, CA",United States,True,False,http://www.theopenswing.com,NA,34.1812089,-118.307201
2024,2024-11-28,"Nov 28 - Dec 1, 2024",Winter White WCS,Registry Event,"Asker, Norway",Norway,False,False,http://www.winterwhite.no,EU,59.68126025,10.47483598845985
2024,2024-11-28,"Nov 28 - Dec 1, 2024",The After Party “TAP”,Registry Event,"Irvine, CA",United States,False,False,http://www.tapwcs.com,NA,33.8056969,-117.7059819
2024,2024-11-29,"Nov 29 - Dec 1, 2024",Shooba Dooba Swing,Registry Event,"Moscow, Russia",Russian Federation,False,False,http://-,EU,55.745577999999995,37.7263916
2024,2024-12-05,"Dec 5 - 8, 2024",Berlin Swing Revolution,Registry Event,"Berlin, Germany",Germany,False,False,https://berlinswingrevolution.com,EU,52.577036500000006,13.4488599
2024,2024-12-05,"Dec 5 - 8, 2024",Swingtimate,Registry Event,"Southport, Australia",Australia,False,False,https://rawconnection.com.au/swingtimate/,OC,-27.9087807,153.4666696
2024,2024-12-13,"Dec 13 - 16, 2024",Global Grand Prix - West Coast Swing Reunion,Registry Event,"Toulouse-Labege, France",France,False,False,http://www.globalgrandprixwcs.com,EU,43.6117979,1.5700679
2024,2024-12-26,"Dec 26 - 29, 2024",New Year's Swing Fling,Registry Event,"London, UK",United Kingdom,False,False,http://www.nyswingfling.com,EU,51.5674456,-0.0677653
2024,2024-12-26,"Dec 26 - 29, 2024",SwingCouver,Registry Event,"Vancouver, WA",United States,False,False,http://www.swingcouver.com,NA,45.7506954,-122.55445569999999
2024,2024-12-26,Dec 26 2024 - Dec 31 2023,Countdown Swing Boston,Registry Event,"Mansfield, MA",United States,False,False,https://countdownswingboston.com/,NA,42.0934326,-71.1589405
2024,2024-12-26,"Dec 26 - 29, 2024",Floor Play Swing Vacation,Registry Event,"Orlando, FL",United States,False,False,https://floorplayswingvacation.com/,NA,28.7221109,-81.1990304
2024,2024-12-26,"Dec 26 - 29, 2024",Spotlight New Year's Celebration,Registry Event,"Nashville, TN",United States,False,False,http://www.spotlightnewyears.com,NA,36.2222767,-86.7142984
2024,2024-12-26,"Dec 26 - 29, 2024",SwingVester,Registry Event,"Wels, Austria",Austria,False,False,http://www.swingvester.com,EU,48.276547199999996,14.144375199999999
2025,2025-10-02,"Oct 2 - 5, 2025",Atlanta Swing Classic,Registry Event,"Atlanta, GA",United States,True,False,https://atlantaswingclassic.com/,NA,33.868992399999996,-84.2702644
