dancer_id,role,dance,level,total_points,update_date
15808,Follower,West Coast Swing,Master,96,2024-10-23
15808,Follower,West Coast Swing,Master,97,2024-10-30
15827,Leader,West Coast Swing,All-Star,10,2024-10-23
15827,Leader,West Coast Swing,All-Star,12,2024-10-30
15852,Follower,West Coast Swing,Novice,15,2024-10-23
15852,Follower,West Coast Swing,Novice,21,2024-10-30
15859,Leader,West Coast Swing,All-Star,3,2024-10-30
15859,Leader,West Coast Swing,Sophisticated,8,2024-10-30
15914,Follower,West Coast Swing,Advanced,22,2024-10-23
15914,Follower,West Coast Swing,Advanced,32,2024-10-30
15915,Follower,West Coast Swing,Intermediate,24,2024-10-23
15915,Follower,West Coast Swing,Intermediate,32,2024-10-30
15922,Follower,West Coast Swing,Sophisticated,24,2024-10-23
15922,Follower,West Coast Swing,Sophisticated,25,2024-10-30
15923,Follower,West Coast Swing,Intermediate,24,2024-10-23
15923,Follower,West Coast Swing,Intermediate,25,2024-10-30
15923,Follower,West Coast Swing,Sophisticated,15,2024-10-23
15923,Follower,West Coast Swing,Sophisticated,16,2024-10-30
15928,Leader,West Coast Swing,All-Star,37,2024-10-23
15928,Leader,West Coast Swing,All-Star,38,2024-10-30
15962,Follower,West Coast Swing,Intermediate,9,2024-10-23
15962,Follower,West Coast Swing,Intermediate,11,2024-10-30
15962,Follower,West Coast Swing,Master,38,2024-10-23
15962,Follower,West Coast Swing,Master,40,2024-10-30
16047,Leader,West Coast Swing,Newcomer,1,2024-10-30
16061,Follower,West Coast Swing,Master,145,2024-10-23
16061,Follower,West Coast Swing,Master,146,2024-10-30
16067,Follower,West Coast Swing,Advanced,28,2024-10-23
16067,Follower,West Coast Swing,Advanced,32,2024-10-30
16202,Leader,West Coast Swing,Master,141,2024-10-23
16202,Leader,West Coast Swing,Master,142,2024-10-30
16202,Leader,West Coast Swing,Sophisticated,10,2024-10-23
16202,Leader,West Coast Swing,Sophisticated,11,2024-10-30
16206,Follower,West Coast Swing,Advanced,30,2024-10-23
16206,Follower,West Coast Swing,Advanced,31,2024-10-30
16216,Follower,West Coast Swing,Advanced,1,2024-10-23
16216,Follower,West Coast Swing,Advanced,3,2024-10-30
16219,Follower,West Coast Swing,Intermediate,10,2024-10-23
