event_id,event_name,event_year,event_month,planned_start_date,planned_end_date,calendar_status,date_source,source_fingerprint,calendar_title,url,match_via,scraped_at,updated_at
119,Chicagoland Country and Swing Dance Festival,2013,8,2013-08-16,2013-08-18,scheduled,wsdc_dump,dump:competitionevents:1409,Chicagoland Dance Festival,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
159,World Swing Masters,2013,8,2013-08-16,2013-08-18,scheduled,wsdc_dump,dump:competitionevents:1408,World Swing Masters,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
51,Palm Springs Summer Dance Classic,2013,8,2013-08-15,2013-08-18,scheduled,wsdc_dump,dump:competitionevents:1410,Palm Springs Summer Dance Classic,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
120,Lone Star Invitational,2013,8,2013-08-09,2013-08-11,scheduled,wsdc_dump,dump:competitionevents:1411,Lone Star Invitational,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
157,New England Dance Festival,2013,8,2013-08-09,2013-08-11,scheduled,wsdc_dump,dump:competitionevents:1405,New England Dance Festival,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
77,Arizona Dance Classic,2013,8,2013-08-02,2013-08-04,scheduled,wsdc_dump,dump:competitionevents:1406,Arizona Dance Classic,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
164,Sea Sun and Swing,2013,8,2013-08-02,2013-08-04,scheduled,wsdc_dump,dump:competitionevents:1404,Sea Sun and Swing,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
59,Swing Fling,2013,8,2013-08-01,2013-08-04,scheduled,wsdc_dump,dump:competitionevents:1403,Swing Fling,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
47,SwingTime Denver,2013,7,2013-07-25,2013-07-28,scheduled,wsdc_dump,dump:competitionevents:1407,Swingtime in the Rockies,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
148,Dance Mardi Gras,2013,7,2013-07-19,2013-07-21,scheduled,wsdc_dump,dump:competitionevents:1400,New Orleans Dance Mardi Gras,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
147,Toronto Open Swing & Hustle Championships,2013,7,2013-07-19,2013-07-21,scheduled,wsdc_dump,dump:competitionevents:1401,Toronto Open Swing & Hustle Championships,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
149,Florida Dance Magic,2013,7,2013-07-18,2013-07-21,scheduled,wsdc_dump,dump:competitionevents:1402,Florida Dance Magic,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
44,Portland Dance Festival,2013,7,2013-07-12,2013-07-14,scheduled,wsdc_dump,dump:competitionevents:1399,Portland Dance Festival,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
209,SinCity Swing,2013,7,2013-07-12,2013-07-14,scheduled,wsdc_dump,dump:competitionevents:1413,SinCity Swing,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
1,4TH of July Convention,2013,7,2013-07-05,2013-07-07,scheduled,wsdc_dump,dump:competitionevents:1398,4TH of July Convention,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
208,WCS@IDB,2013,7,2013-07-05,2013-07-07,scheduled,wsdc_dump,dump:competitionevents:1397,WCS@IDB,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
109,Colorado Country Classic,2013,6,2013-06-28,2013-06-30,scheduled,wsdc_dump,dump:competitionevents:1396,Colorado Country Classic,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
96,Liberty Swing Dance Championships,2013,6,2013-06-21,2013-06-23,scheduled,wsdc_dump,dump:competitionevents:1395,Liberty Swing Dance Championships,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
207,Dance N Play,2013,6,2013-06-14,2013-06-16,scheduled,wsdc_dump,dump:competitionevents:1394,Dance N Play,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
25,J&J O'Rama,2013,6,2013-06-07,2013-06-09,scheduled,wsdc_dump,dump:competitionevents:1355,J&J O'Rama,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
188,NSW West Coast Swing Dance Championships,2013,6,2013-06-07,2013-06-09,scheduled,wsdc_dump,dump:competitionevents:1358,NSW West Coast Swing Dance Championships,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
117,Orange Blossom Dance Festival,2013,6,2013-06-06,2013-06-08,scheduled,wsdc_dump,dump:competitionevents:1356,Orange Blossom Dance Festival,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
206,Hungarian Open,2013,6,2013-05-31,2013-06-02,scheduled,wsdc_dump,dump:competitionevents:1354,Hungarian Open,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
76,Michigan Dance Classic,2013,6,2013-05-30,2013-06-02,scheduled,wsdc_dump,dump:competitionevents:1357,Michigan Dance Classic,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
163,DFW Pro Am Jam,2013,5,2013-05-24,2013-05-26,scheduled,wsdc_dump,dump:competitionevents:1353,DFW Pro Am Jam,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
20,FreZno Dance Classic,2013,5,2013-05-24,2013-05-26,scheduled,wsdc_dump,dump:competitionevents:1361,FreZno Dance Classic,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
22,USA Grand Nationals,2013,5,2013-05-24,2013-05-26,scheduled,wsdc_dump,dump:competitionevents:1360,USA Grand Nationals,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
105,Canadian Swing Championships,2013,5,2013-05-17,2013-05-20,scheduled,wsdc_dump,dump:competitionevents:1359,Canadian Swing Championships,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
175,French Open West Coast Swing,2013,5,2013-05-17,2013-05-20,scheduled,wsdc_dump,dump:competitionevents:1352,French Open West Coast Swing,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
205,SOswing,2013,5,2013-05-17,2013-05-19,scheduled,wsdc_dump,dump:competitionevents:1349,SOswing,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
174,Swingsation,2013,5,2013-05-17,2013-05-19,scheduled,wsdc_dump,dump:competitionevents:1348,Swingsation,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
121,The Texas Classic,2013,5,2013-05-16,2013-05-19,scheduled,wsdc_dump,dump:competitionevents:1351,The Texas Classic,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
185,Sweetheart Swing Classic,2013,5,2013-05-09,2013-05-12,scheduled,wsdc_dump,dump:competitionevents:1350,Sweetheart Swing Classic,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
61,SwingDiego,2013,5,2013-05-09,2013-05-12,scheduled,wsdc_dump,dump:competitionevents:1347,SwingDiego,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
204,Spring Swing,2013,5,2013-05-03,2013-05-05,scheduled,wsdc_dump,dump:competitionevents:1345,Spring Swing,,dump_competitionevents_series_id,2026-09-24 16:33:19.999141+00,2026-09-24 16:33:19.999141+00
