event_id,canonical_name,url,registry_status,typical_city,typical_state,typical_country,typical_location,first_edition_year,last_edition_year,edition_count,total_result_rows,unique_dancers,upcoming_start_date,upcoming_location,updated_at
385,Revitalise WCS,https://revitalisewcs.melbourne/,Registry Event,,,Australia,"Melbourne, Victoria, Australia",2025,2025,1,52,51,2026-07-16,"Melbourne, Victoria, Australia",2026-06-23 12:49:48.149947+00
263,Riga Summer Swing,,,,,,,2016,2024,5,423,356,,,2026-06-23 12:49:48.149947+00
45,Rising Star - Chicago,,,,,,,1997,2000,3,154,130,,,2026-06-23 12:49:48.149947+00
46,Rising Star - Dallas,,,,,,,1996,1996,1,31,31,,,2026-06-23 12:49:48.149947+00
130,River City Dance Festival,,,,,,,2006,2010,5,48,35,,,2026-06-23 12:49:48.149947+00
177,River City Swing,http://www.jaxwestiefest.com/,Registry Event,,,United States,"Jacksonville, FL, United States",2011,2025,12,1044,615,2026-09-04,"Jacksonville, FL, United States",2026-06-23 12:49:48.149947+00
256,Rock the Barn,https://rockthebarn.se/,Registry Event,,,Sweden,"Umeå, Nordmalings kommun, Sweden",2015,2025,9,525,348,2026-07-17,"Umeå, Nordmalings kommun, Sweden",2026-06-23 12:49:48.149947+00
266,Rocky Mountain 5 Dance,,,,,,,2016,2016,1,53,49,,,2026-06-23 12:49:48.149947+00
453,Rocky Mountain Five Dance (RM5),,,,,,,2018,2018,1,35,33,,,2026-06-23 12:49:48.149947+00
313,Rolling Swing,http://www.frenchywesty.com/,Registry Event,,,France,"LYON, Rhone, France",2019,2025,6,637,391,2026-08-27,"LYON, Rhone, France",2026-06-23 12:49:48.149947+00
244,Rose City Swing,https://rosecityswing.com/,Registry Event,,,United States,"Portland, OR, United States",2015,2026,11,1337,804,2027-02-25,"Portland, OR, United States",2026-06-23 12:49:48.149947+00
454,Russian Open WCS Championship,,,,,,,2021,2021,1,65,65,,,2026-06-23 12:49:48.149947+00
170,Russian Open WCS Championships,,,,,,,2011,2019,9,494,260,,,2026-06-23 12:49:48.149947+00
281,Sacramento All Swing,,,,,,,2017,2017,1,79,77,,,2026-06-23 12:49:48.149947+00
280,Saint Petersburg WCS Nights,http://wcsnights.ru/,Registry Event,,,Russia,"St.Petersburg, Russia",2017,2024,7,488,291,2026-07-22,"St.Petersburg, Russia",2026-06-23 12:49:48.149947+00
217,San Diego Dance Festival,,,,,,,2014,2024,7,353,218,,,2026-06-23 12:49:48.149947+00
199,San Francisco Dance Sensation,,,,,,,2013,2013,1,88,88,,,2026-06-23 12:49:48.149947+00
377,Santa Swing,https://www.santaswing.pl/,Registry Event,,,Poland,"Kraków, Poland",2025,2025,1,99,96,2026-12-10,"Kraków, Poland",2026-06-23 12:49:48.149947+00
260,Sao Paulo Swing Dance Championships,,,,,,,2016,2016,1,39,39,,,2026-06-23 12:49:48.149947+00
380,SASS Spooky Albany Swing Spectacular,http://www.spookyalbanyswing.com/,Registry Event,,,United States,"Albany, NY, United States",2025,2025,1,67,58,2026-10-22,"Albany, NY, United States",2026-06-23 12:49:48.149947+00
360,SaunaSwing,https://ekarolas.com/saunaswing/,Registry Event,,,Finland,"Ikaalinen, Pirkanmaa, Finland",2025,2025,1,94,76,2026-07-02,"Ikaalinen, Pirkanmaa, Finland",2026-06-23 12:49:48.149947+00
229,Scandinavian Open,http://www.snowcs.se/,Registry Event,,,Sweden,"Stockholm, Sweden",2014,2025,10,993,704,2026-10-28,"Stockholm, Sweden, Sweden",2026-06-23 12:49:48.149947+00
277,Scotland Swing Classic,http://www.scottishswingclassic.com/,,,,,,2017,2019,3,140,104,,,2026-06-23 12:49:48.149947+00
168,Scottish WCS Dance Championships,,,,,,,2011,2014,4,141,117,,,2026-06-23 12:49:48.149947+00
338,Sea Dance Fest,https://vk.com/seadancefest,Registry Event,,,Russia,"Moscow, Moscow region, Russia",2024,2025,2,117,96,2026-09-11,"Moscow, Moscow region, Russia",2026-06-23 12:49:48.149947+00
455,Sea Sun & Swing Camp,,,,,,,2019,2024,3,286,216,,,2026-06-23 12:49:48.149947+00
164,Sea Sun and Swing,http://www.seasunswing.fr/,Registry Event,,,France,"La Grande Motte, Herault, France",2010,2017,7,486,343,2026-07-25,"La Grande Motte, Herault, France",2026-06-23 12:49:48.149947+00
79,Sea to Sky,http://seatoskywcs.com/,Registry Event,,,United States,"Seattle, WA, United States",2002,2017,13,945,541,2026-11-05,"Seattle, WA, United States",2026-06-23 12:49:48.149947+00
456,Sea To Sky - Seattle,,,,,,,2018,2019,2,195,170,,,2026-06-23 12:49:48.149947+00
457,Sea to Sky Seattle,,,,,,,2024,2024,1,126,121,,,2026-06-23 12:49:48.149947+00
458,Sea to Sky Seattle WCS,,,,,,,2023,2023,1,101,96,,,2026-06-23 12:49:48.149947+00
18,Seattle's Easter Swing,https://easterswing.org/,Registry Event,,,United States,"Seattle, WA, United States",1994,2026,30,3017,1547,2027-03-25,"Seattle, WA, United States",2026-06-23 12:49:48.149947+00
