edition_id,event_id,event_name,event_year,event_month,division,dance,leader_tier,follower_tier,leader_status,follower_status,worst_status,leader_scored,follower_scored,est_min_entries,est_max_entries,both_roles_present,range_conflict
652,59,Swing Fling,2026,8,Master,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
652,59,Swing Fling,2026,8,Newcomer,West Coast Swing,2,3,matched,matched,matched,5,9,31,58,t,f
652,59,Swing Fling,2026,8,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
652,59,Swing Fling,2026,8,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2075,227,Swingtacular: The Galactic Open,2026,8,Advanced,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2075,227,Swingtacular: The Galactic Open,2026,8,All-Star,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2075,227,Swingtacular: The Galactic Open,2026,8,Intermediate,West Coast Swing,5,5,matched,matched,matched,15,15,160,258,t,f
2075,227,Swingtacular: The Galactic Open,2026,8,Master,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2075,227,Swingtacular: The Galactic Open,2026,8,Novice,West Coast Swing,6,6,matched,matched,matched,15,15,260,,t,f
2602,356,The Bend Connection,2026,8,Advanced,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2602,356,The Bend Connection,2026,8,All-Star,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2602,356,The Bend Connection,2026,8,Intermediate,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
2602,356,The Bend Connection,2026,8,Newcomer,West Coast Swing,3,2,matched,matched,matched,10,5,31,58,t,f
2602,356,The Bend Connection,2026,8,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2602,356,The Bend Connection,2026,8,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
