dancer_id,role,dance,level,total_points,update_date
799,Leader,West Coast Swing,Sophisticated,2,2026-07-20
798,Leader,West Coast Swing,Novice,11,2026-07-20
800,Leader,West Coast Swing,Novice,2,2026-07-20
803,Leader,West Coast Swing,Novice,8,2026-07-20
803,Leader,West Coast Swing,Master,1,2026-07-20
804,Leader,West Coast Swing,Professional,20,2026-07-20
802,Follower,West Coast Swing,Advanced,43,2026-07-20
802,Follower,West Coast Swing,Novice,5,2026-07-20
802,Follower,West Coast Swing,Professional,11,2026-07-20
801,Follower,West Coast Swing,Novice,2,2026-07-20
805,Follower,West Coast Swing,Novice,2,2026-07-20
806,Leader,West Coast Swing,Newcomer,10,2026-07-20
807,Leader,West Coast Swing,Intermediate,1,2026-07-20
807,Leader,West Coast Swing,Novice,3,2026-07-20
807,Leader,West Coast Swing,Newcomer,10,2026-07-20
807,Leader,West Coast Swing,Master,2,2026-07-20
808,Leader,West Coast Swing,Advanced,12,2026-07-20
808,Leader,West Coast Swing,Master,8,2026-07-20
809,Leader,West Coast Swing,Advanced,3,2026-07-20
811,Leader,West Coast Swing,Advanced,3,2026-07-20
810,Leader,West Coast Swing,Intermediate,4,2026-07-20
810,Leader,West Coast Swing,Novice,17,2026-07-20
810,Leader,West Coast Swing,Master,1,2026-07-20
812,Leader,West Coast Swing,Advanced,1,2026-07-20
813,Leader,West Coast Swing,Novice,14,2026-07-20
816,Follower,West Coast Swing,Advanced,10,2026-07-20
816,Follower,West Coast Swing,Intermediate,3,2026-07-20
816,Follower,West Coast Swing,Master,4,2026-07-20
815,Follower,West Coast Swing,Advanced,1,2026-07-20
815,Follower,West Coast Swing,Intermediate,14,2026-07-20
815,Follower,West Coast Swing,Novice,5,2026-07-20
817,Follower,West Coast Swing,Advanced,25,2026-07-20
818,Leader,West Coast Swing,Champion,10,2026-07-20
818,Leader,West Coast Swing,All-Star,0,2026-07-20
818,Leader,West Coast Swing,Advanced,10,2026-07-20
818,Leader,West Coast Swing,Master,15,2026-07-20
818,Leader,West Coast Swing,Professional,18,2026-07-20
814,Follower,West Coast Swing,Novice,0,2026-07-20
819,Follower,West Coast Swing,Novice,3,2026-07-20
820,Follower,West Coast Swing,Advanced,29,2026-07-20
820,Follower,West Coast Swing,Master,605,2026-07-20
820,Follower,West Coast Swing,Sophisticated,12,2026-07-20
820,Follower,West Coast Swing,Professional,47,2026-07-20
821,Follower,West Coast Swing,Advanced,6,2026-07-20
821,Follower,West Coast Swing,Novice,14,2026-07-20
822,Follower,West Coast Swing,Newcomer,6,2026-07-20
823,Leader,West Coast Swing,Intermediate,29,2026-07-20
823,Leader,West Coast Swing,Juniors,0,2026-07-20
824,Leader,West Coast Swing,Advanced,49,2026-07-20
824,Leader,West Coast Swing,Master,2,2026-07-20
824,Leader,West Coast Swing,Professional,6,2026-07-20
825,Follower,West Coast Swing,Advanced,23,2026-07-20
825,Follower,West Coast Swing,Master,7,2026-07-20
825,Follower,West Coast Swing,Professional,2,2026-07-20
826,Follower,West Coast Swing,Novice,6,2026-07-20
827,Follower,West Coast Swing,Newcomer,3,2026-07-20
828,Leader,West Coast Swing,Novice,10,2026-07-20
829,Leader,West Coast Swing,Advanced,12,2026-07-20
831,Leader,West Coast Swing,Advanced,3,2026-07-20
830,Follower,West Coast Swing,Invitational,6,2026-07-20
830,Follower,West Coast Swing,Advanced,30,2026-07-20
830,Follower,West Coast Swing,Master,31,2026-07-20
832,Follower,West Coast Swing,Professional,3,2026-07-20
833,Leader,West Coast Swing,Advanced,8,2026-07-20
833,Leader,West Coast Swing,Intermediate,10,2026-07-20
833,Leader,West Coast Swing,Novice,9,2026-07-20
834,Follower,West Coast Swing,Newcomer,4,2026-07-20
837,Follower,West Coast Swing,Advanced,2,2026-07-20
836,Follower,West Coast Swing,Novice,6,2026-07-20
835,Leader,West Coast Swing,Advanced,2,2026-07-20
835,Leader,West Coast Swing,Novice,4,2026-07-20
835,Leader,West Coast Swing,Master,14,2026-07-20
839,Follower,West Coast Swing,Advanced,28,2026-07-20
840,Follower,West Coast Swing,Novice,3,2026-07-20
840,Follower,West Coast Swing,Juniors,3,2026-07-20
838,Leader,West Coast Swing,Novice,12,2026-07-20
841,Follower,West Coast Swing,Advanced,20,2026-07-20
842,Follower,West Coast Swing,Novice,2,2026-07-20
842,Follower,West Coast Swing,Newcomer,0,2026-07-20
